lastName,firstName,className,choice1,choice2,choice3
Piccard,Auguste,Solvay 1927,Third Half,Sliding Tackles,Refereeing
Henriot,Émile,Solvay 1927,Fluid Mechanics,Organic Chemistry,Refereeing
Ehrenfest,Paul,Solvay 1927,Third Half,Fluid Mechanics,Field Theory
Herzen,Édouard,Solvay 1927,Field Theory,Third Half,Fluid Mechanics
de Donder,Théophile,Solvay 1927,Refereeing,Juggling,Football
Schrödinger,Erwin,Solvay 1927,Refereeing,Juggling,Sliding Tackles
Verschaffelt,Jules-Émile,Solvay 1927,Refereeing,Football,Field Theory
Pauli,Wolfgang,Solvay 1927,Juggling,Sliding Tackles,Third Half
Heisenberg,Werner,Solvay 1927,Field Theory,Juggling,Organic Chemistry
Fowler,Ralph,Solvay 1927,Organic Chemistry,Football,Third Half
Brillouin,Léon,Solvay 1927,Refereeing,Fluid Mechanics,Third Half
Debye,Peter,Solvay 1927,Juggling,Sliding Tackles,Football
Knudsen,Martin,Solvay 1927,Sliding Tackles,Football,Third Half
Bragg,William,Solvay 1927,Juggling,Field Theory,Refereeing
Kramers,Hendrik,Solvay 1927,Fluid Mechanics,Sliding Tackles,Third Half
Dirac,Paul,Solvay 1927,Third Half,Field Theory,Organic Chemistry
Compton,Arthur,Solvay 1927,Refereeing,Fluid Mechanics,Sliding Tackles
de Broglie,Louis,Solvay 1927,Sliding Tackles,Juggling,Organic Chemistry
Born,Max,Solvay 1927,Third Half,Juggling,Football
Bohr,Niels,Solvay 1927,Refereeing,Juggling,Football
Langmuir,Irving,Solvay 1927,Field Theory,Organic Chemistry,Juggling
Planck,Max,Solvay 1927,Football,Sliding Tackles,Refereeing
Curie,Marie,Solvay 1927,Juggling,Field Theory,Sliding Tackles
Lorentz,Hendrik,Solvay 1927,Juggling,Field Theory,Football
Einstein,Albert,Solvay 1927,Fluid Mechanics,Organic Chemistry,Field Theory
Langevin,Paul,Solvay 1927,Third Half,Juggling,Football
Guye,Charles-Eugène,Solvay 1927,Organic Chemistry,Field Theory,Juggling
Wilson,Charles,Solvay 1927,Sliding Tackles,Juggling,Football
Richardson,Owen,Solvay 1927,Field Theory,Football,Third Half
